,act_no,mts_mm_access_count,tot_ivs_te_sgm_cd,trd_tot_vol,cluster
0,4c272f9facccc618a111c42576be006390ea9775407c029bee0ac3a5a2b9dbd0,1,1,0.0,0
1,628426b03d25a2ae774539e19d783777cb56a4910e547e1cec45f006d622424b,6,3,0.0,0
2,555452034340e408093f1c25b468b78935ca78eca4225ab53dfe37a7bbf68202,6,3,0.0,0
3,57a9de76d17175c56bb4a872ee0a6269be21f38fb0937f7d2ef759f1164d2def,6,3,0.0,0
4,1b0c986dbe5004d731b1cc24b8586d1d9035cfcd459e1261ca2d9b24b88c57c9,6,1,0.0,0
5,73a63f06d98225d2153b45c6582e66a9e5fdcba3db1a4ef26977cac41b0efbb5,6,2,1866.0,0
6,961e49a3c24a5afde7bbf0748050433da975af2f908bbc132d587e4d292466d1,6,2,6.0,0
7,1abf40315e2fd6dbcf24e515e70db1badf7c43a9aa88f6e49e5070bd56b56204,6,5,0.0,0
8,afd6a1e63b8250be966bac21e60eb5caa9141a35aa1d03733880cb4afc031a87,2,1,0.0,0
9,a865b94a13738e48ee67e2215cb3a3f28701365cab8edc4dbc79f69bc7ff5c66,6,4,1895.0,0
10,65b3a2b6463b6be31917146ea1f35177159a51483060d28a5fa0403f5c609d04,6,3,0.0,0
11,c9c043040ec6dc8481480c48d3f0c389e37c2ee869394687f2f97484f75c303a,4,3,0.0,0
12,2c9c62a0c7a1502f2a53d6ea2c3b7e1f8afd6087c3d73a720e86514efcf758ac,6,3,2370.0,0
13,152576271df840a9e7af894df67ea4752051fe4ae801327ce0be441ae8f19c4b,6,3,1940.0,0
14,89b218d7a01017f444f2be1045190366a6226fa8eea0d86783f3064a3f6f0163,6,3,0.0,0
15,79eb2061c48cb5adf6d67fa052d2fcd1023517bed2a20ec3d1a8449bf20f4497,2,3,0.0,0
16,6850608c9b0f0e38ff4d6f425bc7975de501b31f045ddc581e78ac5bcb3dca0b,3,1,2.0,0
17,ab08999e8274373a8c6b4e80734e389eac4c94db17d9285797b24f585a719aab,4,1,0.0,0
18,e32964de263eccadb4a103a74e2486a7075e7dc68fe8ffaadfd6bb66fdf77497,2,1,0.0,0
19,457de217e5f388ab9c880c7556ee77070b8714deda351f172852f81f863aca51,3,1,0.0,0
20,2a3aa73b2e8d2256b616d29a2edf867c7d0ad339956c472840b5057cc1ca1643,6,4,7922.0,1
21,8cc956e08c2de0d3abf65905b77485de972624d4cf64332aca33cd0a1dadcd75,6,3,5880.0,1
22,927adc141956244ab007a485634cbad4d687221405577a4a679dd50a1388e158,6,3,6672.0,1
23,fdb9942357d025f64a78fbce3855ec4f7b6bad2d1d6c04d826b729dc91335029,5,1,0.0,0
24,ed6814fbc8ce1995257a195aeadf929d6d769c8cae9fc2d588d823144bde26b5,6,3,92.0,0
25,dbb07ad7f69bfac30b359802f09f91f03a3ff54e02db179df3f2bcf291cc0ba9,6,3,2225.0,0
26,57733e7411552445ba0040141134698d592fa88a7dfef9cb64271129fb42e635,4,1,0.0,0
27,01984ebb63cfaa34ae4954e21e6b76b501a2316bcf7ae79ab0a905d8a3365868,6,2,248.0,0
28,04889b0f487e5f52477b0fa51af6154f78ba6867a1f91ec65e72ec6b23c835fd,6,4,1434.0,0
29,3f5955ee31dcc9294af39c9d851ca2159962c914b51b16a6aa47e4d317c654df,6,3,1.0,0
30,4a85da81a37370356f9861bd51f48b99bac89643bbbddf469722797f9c825fe8,6,3,7.0,0
31,8b4868cba37117ebd7b9eaa67061f600739439b7b497c922b4fb3ce3ac220f4c,6,3,3595.0,1
32,d4864cc3400fe35937d4d588e21d45f245e27a7941bb4ab4034b8f1736e93a91,6,2,0.0,0
33,0b1f36e7eecd8304d067f4492874708d72ba3791d7fc09c6b542b6358d65d594,6,3,6063.0,1
34,5f7d0ae1a09da34dbfaaa634292d05e6b88ef14604fe5bfecff4bc2e7699f247,1,1,1.0,0
35,e546c2bf782d23f4cfca5f9057f24a349fea6b3c657a85cd20db2014627382aa,6,2,309.0,0
36,d623f6857bba0f1d92936564a2d91ba3bf2d1523aefae7027cad514fdd4191b4,2,1,3317.0,1
37,ce780dfa96d496b8d921bcd719abc768709b41517e802d1470799db94ffd44b1,6,6,0.0,0
38,9069a048322d11ef60bca7811722405a9a184cdbef1e2e703391af04ef4c9fc1,4,3,0.0,0
39,648dd2f2021499c95392504c9a3119f57a7a55aaf7013a49dd2f67d26df741e2,6,3,161.0,0
40,a0d2189a70327aee1ff674e19d51b59a9f617834296ab969f3f9611fdcd85ea2,6,3,169.0,0
41,53a7c492ab12597597cedefd79e25ef7ee7cac6d5f4aca5595ac329cdcd1ea84,4,3,0.0,0
42,922b3e105f7cadc260c3827cc49db66da35541f5bdb3385fa1026378fb9d16f9,6,3,461.0,0
43,806a5405b5ab157a9cb795c89f1573c4ab01a2e86ddcef0699eafae978ece3d7,1,1,0.0,0
44,20663d0413342ab86b27abab90ff03ded6f1cec3e383d38a74631c573e9e3007,3,3,0.0,0
45,2942cc760556d530f87aa086b376afb9f64b239bf1e36b8ab7f02c42ad754406,6,2,1617.0,0
46,caa84587497fa6fa19184d6f4541eabd4845e7a79bd6adb86b66f600e1f70c08,6,3,50.0,0
47,bd85c2250a90705be8628e08d4a6106d30da521bd2d58026d368b85c877b0312,6,3,29.0,0
48,2cf1b00a8db8d8947455609b4b96f8f9ef8ef674a1c397deb410f04160869a65,1,1,0.0,0
49,dc43516da8bb6adbc40cf5881d7614d7078c6c640bbd99d4a376ec256edee8e5,3,1,0.0,0
50,f89c00767c9467493ae55f9b7ef3a626a95dc60546d5e0fefce780e2092b2940,6,1,1.0,0
51,ef892c125b3f4da2b26626f1400388bcc7ceddb98c4dcd0f48538a474f6c4e7a,6,5,120.0,0
52,c6eb07e1b9e9456fe5d3085083f0ffc5588c3202ac6422c99ea0db8484fed737,6,6,4600.0,1
53,fa8dafc188721ac4df7db368984c0e1f2283bcce12fa430daf09bc2f5d1e8d15,6,3,0.0,0
54,337e55362f24ba36f4b0fb9bb77fad5db426c9e5eab5a58c664ecd318d036c3d,6,3,960.0,0
55,574d138ab5e8cd2b528a409df7e07f60a856231e47b7e3e288623a081af6473e,6,3,4410.0,1
56,58a95fa9b6d0e510cb16cafa9ec31baad1aba0d9a35a468e04497e2318b62b6b,6,3,121.0,0
57,51f486c13809fe94987cf4874cb6699a81f00982a587971911884e3d3e3be772,6,1,0.0,0
58,85896689f5869a3c2ec6b70d12e7e3a7badbad4f3bba7cb80bc7233a5f943cca,6,3,885.0,0
59,bbbcbdeac4b35d6adfe0dae268e05ec58076c7e493878264fdfb9595effbc16b,6,3,330.0,0
60,aacba2dd3a64b88a8747a70c597cee0cb3be3cc043008d41113331caa5818ddc,6,3,35.0,0
61,307fe9a69e4c3a16ee2ade6e08771f639bed0c8ef6f5c648f24c1cc068de36b1,4,3,0.0,0
62,c68ace140fdb17a28268e0027481ff6084de65d91d1d566fc7b9ecc2b996103f,6,4,997.0,0
63,3fe86318101ac4f1e9c1d1769135e8c082790804c808fb3ad2f01ca30efa5479,6,3,0.0,0
64,82605be4e7e0ca388bfb77303b0be4908829b6d38795da4b8dcf6195b405c856,6,3,0.0,0
65,7d127a7e922920456215395e5fc6187bb616bf5f979415121f4bfd41730f3f4b,6,3,2359.0,0
66,970f9f78ec2d65cdcb84c3f3af95ee2ade23694b1a941bc34ac5ef12910064b6,3,1,0.0,0
67,96a55960d2d9f3c98ac8c6d5f932c69a778a10bcc0ccea8d2b0e242079e6e069,3,1,0.0,0
68,470eaab2c0e52b18336d681613583d3108ae5391ca70b330c62c648972081732,6,3,5765.0,1
69,7ca08fd61ccee38b8095748f45fe184d8e86a4c34a8284eeb8f34a3306835fd8,1,3,1.0,0
70,5812ce30aa688cce183fde5785177095e9a61c74d768501f7cddea0c3295011b,5,4,2863.0,1
71,09d4ab95343dc5631733c1895d70e32d286775a4b3f13cf79f1f15e1d376a77f,6,3,1491.0,0
72,21e34054180950cc8d1aecb4607abec0b87c09cb2d06b983542f978c6096758e,6,3,0.0,0
73,bbfc6614f1dba48c76981715beeae62d93ef1cf53efe118652e365fa15b32b29,6,3,0.0,0
74,08d3ffdbecdd2f75643bafa5a68ad6a300e6c044040e7d18ceac08d2c83f1561,6,3,912.0,0
75,8e1a60ad4c1544f1f8566e94c74bbd2d94802271e77986d7449b846befc21c54,6,3,92.0,0
76,b7546e6c333c10f41c692ba45d127af191876e0d79d005c0fb5896906b4555b0,6,3,0.0,0
77,d7612a3047bc02f1e583e48fb1c51f3882dc81b4b305238fe9993f3d7f08a255,1,1,0.0,0
78,78bc3af1d7f379e9876fae867de3044a1ae6d244778afb6ffc8e96dcdef42379,1,1,0.0,0
79,d1378d0db29856416c0cd4fdf419eb3b01186abc0ad681fdcb75f8f1700f3e37,1,3,0.0,0
80,a9ec3f73ff910e030537e46d9fb1238b8c1bc09252b9984a76ed1a5bfa7527ff,4,2,2.0,0
81,0c721e2254bf841ec61ca8473ba6fd59447765c8973c97686d78db125f11511a,3,1,0.0,0
82,502f6b719cbae60eeb08b7512224a3bd235caf0793ee88d5309960160d3d4d18,5,6,0.0,0
83,a7a460265301592fec75bc568394925ddaf3b2148b6422a73001f3477f59b91a,6,3,18.0,0
84,6e6e401b8a8f29b066acb9e78991689ec8e70dce4300d252364c489d8b6eff77,6,3,312.0,0
85,029b6f31c27a60163593c2a6463a55d7d720b729f4e214448df1916678ac7ed6,6,3,0.0,0
86,aff8852c0100cb1b8758676c5a1541f6a70235e10e6ed3ed7abd0213aec33440,4,1,0.0,0
87,f1b162021f3b2a8ac6b7b18bf63c7f7a111c812b6bf6edba33b4375927945d46,5,3,100.0,0
88,d9be703068cf88ff9866e607305525b035ec695082316e8e150ac9647f89dbb1,3,3,0.0,0
89,666ca5dc3ed5062b1f8eb2c86da3e018f60e9a9b1d3ba95edcc013eac1389575,3,3,25.0,0
90,9cb963e9ef576d2702e48528beda00d7c73b8a0c48b94a136dd4b9d17bdeb586,4,6,0.0,0
91,26c5d056d37dfedebc476cd7facbeba66d3fd3328d6914013b032ab9445a8dc4,4,3,6.0,0
92,dc313b8d6211c527488554c1a04bf0b86997c625ac532beb1596cae5b8362d1b,4,3,0.0,0
93,f20b8dad1665c5b0c0a4b7e36f6d8e729417366a3de6c83ee8d0a8f297c4c2a2,4,3,0.0,0
94,9d056eb246adf0fd082170016f186ec5367b614221557db6045fd49e61ff3580,6,3,204.0,0
95,8b9bf643f3675ecb5e2c9feadc7a81333601b5450830a8cac5b04130c828e8bd,5,2,361.0,0
96,5eda65547146b6cb39f46134c40d98ae227a9bd4a1b01649b512694fc69e52f4,6,3,7.0,0
97,e77d20f46377d8a000cbc602b9e3a789760976f507422de73e3be4197bd2a874,6,2,51.0,0
98,9ba6c7ed76c1e863abc6bf4334f09528a3042ea5ff25f401989eca99139b5039,6,5,150.0,0
99,e8a69ccae7617f287dee87281684f7b5a2f920ef51dfa1c9f7b1de8de9877d25,6,5,3002.0,1
100,14877371227dc233ac26331f00b8f084fc2e79c51c6a2fd692b132dbfb986f58,4,5,700.0,0
101,6474dd16e08d92f1c7be61dd027ddcae48baedadcb25ce9b45a6825bae36a360,2,4,0.0,0
102,640c424116b62e63341cc20f0a053c5461bcdaaf9d1ef6eedb6529c28a4da8e7,6,4,1804.0,0
103,4dcbdc4f21b54259ccc586bffaba6c751b39e5573d8d4127fadeea51338f7b0a,6,3,68.0,0
104,961123f9c0177da78bad2266ee4c7e37cc5cadfab1148c5577909bff13a1c6ba,6,3,0.0,0
105,9a35331b5d56ecf1676103cdd98d69d6fd3c6c52fc021abb19cd273d4d5786cd,3,3,0.0,0
106,1b077b718c0114ddc11f06a515bbe96bfa3c2f6abe893efc951c3c868fd34877,5,3,0.0,0
107,4afd0946e53a7283a340f8cd505d99d67f132ad603fb3c1f466ce9756c5e4502,6,2,2.0,0
108,59ff94ed2752d3aa70904cbe76121ae402c21ac2c437ef7a9eec5f092c18a354,4,1,0.0,0
109,82c711b80877a6f7d9d1a878f02434ed67788e204fb7e8ac1831b5bd72815954,3,2,0.0,0
110,1d67653e06348705aac832dc0b82342cd737ff75ca4d8def0d113d03cedccd60,6,3,0.0,0
111,8f18e3030d6d471f28f66edce0c402d83bbbb7bf122d285260252113cd0b0005,6,5,1151.0,0
112,77717c0f8de46e0518b8ab7e2f62988cb218cf11963aaf2252da6193c9cee7e1,6,4,0.0,0
113,7cc6f8093efb008dd7408ee9d00f7a0fda7bd5f20671585ebaf731eaa8f09b81,6,3,1000.0,0
114,2677ea681dca3706c35861992e4f7813227e10b4194b1522b13ea91214e4a775,6,3,0.0,0
115,75530407deb7e796def0d8d7f3533a50408d63e830da20a085dcbdcdbfd8942a,6,1,0.0,0
116,cc8091ba093418be870abf4e3362a3b2d71048c5ec2f961451d16cd68693631f,6,3,55.0,0
117,29d766696fc9bf351ee64335365d4b79e80d397db79e4b80753ac6637b50f37d,6,2,199.0,0
118,8c3d07e42e52e5b07b7020e4e7b66d2503638aefeecbdd6077eee8b973cac3ed,2,1,0.0,0
119,3bd1c117177a6fd6540a7216723b28c6c29022444fc046b602ba4fc227068663,4,3,0.0,0
120,cf8f38895b42c919edd5fe76ba74ec8204e48d711b50e2ddac2355e7e57b7f5d,3,2,0.0,0
121,67bdee7a63536e5bdddddf4ab072be3d43c7e82948233520bcfab4401e15937e,5,1,0.0,0
122,857c848d1aa36085f2cffcde3a020dd0d96adebd9b5265bcd9e9107b9cc5efcf,1,1,0.0,0
123,519b613b4f53fbc413cfbbbd0043db3fc042961afcf685b27233aecbd08068eb,2,2,0.0,0
124,c36ba1cb371c086d0de23c45fd3b7529514d07ed8df6135a4ca7a81150f6da8f,2,1,0.0,0
125,79b7e36d78c7b0b82eb4052edcf7a1ef3a27283112cf28669ad372a2298b7b05,6,6,1255.0,0
126,aad4210e116605fc1f135d8801f150f1b571884f9b9dd483687071d8eba2c010,5,3,0.0,0
127,1797e7108ba01fa49a6c7a2667a66b5e3f3aa91df75cbf719cfa10db902db559,6,3,1206.0,0
128,bb43fdf350c4cc71608b217e6120b3ee7b4cb38e0ad4343e573c7d0a93ea5647,6,3,10.0,0
129,df867db625935a30690186adbf5f239011ea4b81dfb36dccb001421c40cd1ed5,6,3,0.0,0
130,c9c21f54bee2def72d85622b5bdcd7b6180a95ccbf7e33bdd06402df08a51fc1,5,1,0.0,0
131,ad8ddf2b0e27a82b4f59899f22ed927c2b44fc00278e4d725d8fbc94ff3c9fdc,4,3,0.0,0
132,66337b049d2683e3f8e5486e5d4a2a6790b438878daad27a1931154020dc49d1,6,3,13.0,0
133,fbba5d2d1a1459b48d2370d3bc8fba791c986d1761b77aa189b9df47b078fedf,6,2,844.0,0
134,25d156dd2b59da2e3aebb53410e69bbda0228259a21ba5e8d7ea198fc1344f3e,6,2,1.0,0
135,cb18594ffd7a9bf8307985280ce6eadac783eafe79d8ae286b8925061af25b0c,6,6,8.0,0
136,feb489644a0742cf106cfcb1500e3785ab95bb6d155413efdf9f21dc61b43a17,4,5,0.0,0
137,a5df50e8c19d322a8b4f8077ffcaadf6efab7c962cabb9f800cff8d9c0f34120,6,3,4907.0,1
138,cac3356ef1bedce1883e0eb2c7493b0106cfbbeda02dea572c98e640ca2702d2,6,3,0.0,0
139,0dc114c66eb90433f54b7464e41c22172876fe53621565654d99b7d6c6555818,6,1,0.0,0
140,e09a24f885246f9bfe6b081dae9c952d908186b0043819eb0b1c502cdbe3b78d,6,3,881.0,0
141,78e153815f0a2c7cb9421cc7392bf5ca2369ae887ed21d4be37574184b989e6b,6,3,196.0,0
142,a2b76d7f77be040005dce6db89d008a3b3ec958547d7764535bc4d1ac5b389c4,6,3,0.0,0
143,71fc3f16d37209d312888d0d31f05c7570b64c643bc2795ec108bbd666e6e3bd,6,3,0.0,0
144,a72a2f12b1b4a458728d00825bc4841fcabcabad26a6afbbf9e6cc2b784dd974,6,3,700.0,0
145,94decf2bedc73f05a8c7426ce4a40be1d818f9661d30917dabb0b6acd042ae6f,2,1,0.0,0
146,a527dfecac393b2d112c7d9f5ed79d3be869e9b6a583404b9aa386ad9793ccae,1,1,0.0,0
147,117906d0d9abccd72bda8aa8cc17a7a7a2da025a4d62b7bee64ae65c38f80519,6,6,6081.0,1
148,bb0d8e49bb7663c757e993b1550cde946167c10b789afc13330885ac8391cdbe,6,5,0.0,0
149,2536ee940851a28cdb8076ce1bea261a9e96beb23b70d3c5c1ca495c76d73062,3,1,105.0,0
150,3e3762f6ec3db58a2fdd915b05ef7208a331e69bab10c189ad5ab539471c90b0,6,2,88.0,0
151,44841221974abd56e589b46f136f339b6686d7142d6bc37377be803931e81464,6,3,0.0,0
152,c7a8f8ff9fa7c051f624201390ea617f369b72c102d18893920661de568cdb24,6,3,8.0,0
